Tree species,TreeHeight_foot,TreeCrown_foot,TreeDBH_cm
Lemon,6,4.5,6.687898089
Lemon,6,4,7.002817496
Lemon,5,4,6.366197724
Lemon,7,5,7.002817496
Lemon,5,4,8.594366927
Lemon,5,4,7.002817496
Lemon,6,4,10.50422624
Lemon,5,3,5.729577951
Lemon,7,5,10.18591636
Lemon,5,4,5.729577951
Lemon,6,4.5,5.729577951
Lemon,6,18.5,7.002817496
Lemon,5,4.5,6.366197724
Lemon,5,3.5,7.002817496
Lemon,4,3,5.092958179
Lemon,4,2.5,4.774648293
Lemon,7,4,6.366197724
Lemon,7,3,6.366197724
Lemon,8,6,7.002817496
Lemon,4,3,6.366197724
Lemon,8,5.5,7.321127382
Lemon,6,5.5,6.366197724
Lemon,5,3.5,4.456338407
Lemon,8,6,7.002817496
Lemon,8,4.5,6.366197724
Lemon,7,4,6.366197724
Lemon,5,3,4.774648293
Lemon,5,3,5.092958179
Lemon,5,4,5.411268065
Lemon,6,4.5,5.411268065
Lemon,8,4.5,7.639437268
Lemon,6,4.5,8.912676813
Lemon,6,4,5.729577951
Lemon,7,4.5,6.047887837
Lemon,5,3,4.774648293
Lemon,6,4,7.639437268
Lemon,8,5.5,8.912676813
Lemon,5,3.5,7.002817496
Lemon,8,5.5,6.366197724
Lemon,6,6,6.366197724
Lemon,6,4,4.774648293
Lemon,5,4,5.414012739
Lemon,8,4,6.369426752
Lemon,8,5,6.369426752
Lemon,4,3,6.050955414
Lemon,5,3,4.777070064
Lemon,7,6,6.369426752
Lemon,8,6,7.006369427
Lemon,6,4,7.324840764
Lemon,7,6,8.598726115
Mango,8,7,13.69426752
Mango,9,7,13.05732484
Mango,9,8,15.2866242
Mango,9,8,31.84713376
Mango,10,9.5,31.84713376
Mango,10,8,31.21019108
Mango,9,7,12.10191083
Mango,10,8.5,15.2866242
Mango,10,9,13.05732484
Mango,10,8,15.2866242
Mango,9,8,10.50955414
Mango,9,8,15.2866242
Mango,10,9,14.33121019
Mango,10,9,13.69426752
Mango,9,5.5,9.554140127
Mango,8,6,10.82802548
Mango,10,9,11.14649682
Mango,9,8,14.01273885
Mango,10,9,13.05732484
Mango,10,9,14.01273885
Mango,11,10,19.74522293
Mango,12,10,13.05732484
Mango,8,6,15.2866242
Mango,10,10,16.24203822
Mango,9,9,16.87898089
Mango,8,6.5,7.961783439
Mango,6,5,8.917197452
Mango,10,9,16.24203822
Mango,8,6.5,10.1910828
Mango,9,8.5,15.92356688
Mango,10,9,15.60509554
Mango,12,10,14.96815287
Mango,12,10,18.78980892
Mango,10,10,16.56050955
Mango,8,8,14.64968153
Mango,10,8.5,14.33121019
Mango,10,9.5,12.10191083
Mango,10,9,13.37579618
Mango,12,10,19.74522293
Mango,10,8,18.78980892
Mango,8,6,11.46496815
Mango,9,8,14.33121019
Mango,10,8.5,16.24203822
Mango,10,9,14.33121019
Mango,10,8,15.60509554
Mango,8,7,14.64968153
Mango,9,7,14.96815287
Mango,10,8,11.14649682
Mango,8,6,11.46496815
Mango,10,8,12.7388535
Custard apple,13,7,14.01273885
Custard apple,10,5,13.69426752
Custard apple,12,6.5,11.78343949
Custard apple,12,7,14.33121019
Custard apple,12,8,16.24203822
Custard apple,12,7,11.46496815
Custard apple,12,5,10.1910828
Custard apple,12,7,14.64968153
Custard apple,12,6,10.82802548
Custard apple,10,7,13.37579618
Custard apple,10,4,7.961783439
Custard apple,12,8,13.37579618
Custard apple,12,5.5,11.78343949
Custard apple,12,5,10.82802548
Custard apple,12,6,13.37579618
Custard apple,12,6,9.23566879
Custard apple,8,3,5.414012739
Custard apple,12,7,12.7388535
Custard apple,12,7,13.69426752
Custard apple,10,6.5,13.05732484
Custard apple,12,6,13.69426752
Custard apple,12,8,14.33121019
Custard apple,10,4.5,15.2866242
Custard apple,9,5,8.917197452
Custard apple,12,7,11.78343949
Custard apple,5,3,9.872611465
Custard apple,12,6,9.23566879
Custard apple,12,7,13.37579618
Custard apple,12,5,9.554140127
Custard apple,13,7,11.46496815
Custard apple,12,6.5,14.64968153
Custard apple,12,6,13.05732484
Custard apple,12,6.5,11.78343949
Custard apple,8,3.5,8.598726115
Custard apple,5,3,7.961783439
Custard apple,12,6,12.7388535
Custard apple,13,6,11.78343949
Custard apple,10,6,11.46496815
Custard apple,6,2,5.095541401
Custard apple,7,3,4.777070064
Custard apple,6,4,5.095541401
Custard apple,5,3,4.777070064
Custard apple,6,3,4.777070064
Custard apple,5,3,5.095541401
Custard apple,5,4,3.821656051
Custard apple,3,1,2.547770701
Custard apple,5,3,4.777070064
Orange,5,4,4.777070064
Orange,5,3,7.643312102
Orange,5,4,4.777070064
Orange,5,3,4.777070064
Orange,5,3,3.821656051
Orange,5,3,4.140127389
Orange,8,6,10.50955414
Orange,9,6,10.1910828
Orange,10,5,11.14649682
Orange,10,5,14.33121019
Orange,10,6,10.82802548
Orange,7,6,9.554140127
Orange,9,6,10.1910828
Orange,9,6,9.872611465
Orange,9,6,9.554140127
Orange,9,6,12.7388535
Orange,10,6,9.23566879
Orange,9,6,9.554140127
Orange,10,6,12.7388535
Orange,9,6,9.554140127
Orange,9,6,10.1910828
Orange,9,6,8.917197452
Orange,11,7,12.7388535
Orange,8,5,8.598726115
Orange,99,5,9.872611465
Orange,9,7,10.50955414
Orange,10,7,11.46496815
Orange,11,7,12.10191083
Orange,12,8,13.37579618
Orange,12,6,9.554140127
Orange,9,6,8.917197452
Orange,9,5,10.50955414
Orange,11,6,11.46496815
Orange,12,6,11.14649682
Orange,11,6,11.46496815
Orange,9,6,11.14649682
Orange,11,7,12.10191083
Orange,9,5.5,9.554140127
Orange,10,6,11.78343949
Orange,9,6,12.7388535
Orange,10,6,10.1910828
Orange,9,6,9.872611465
Orange,12,6,11.46496815
Orange,9,6,9.872611465
Orange,10,6,11.78343949
Orange,9,5,8.917197452
Orange,7,4,8.917197452
Orange,9,6,9.554140127
Orange,10,7,10.50955414
Orange,10,7,8.917197452
Orange,9,6,10.50955414
Orange,10,6,13.69426752
Orange,7,4,8.917197452